CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo, Rep.",COG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,9430289,18362024,39142452,22470715,23916161,30498652,34168148,34204910,38971325,53071747,55249619,40437820,55460716,52462381,53269500,45203713,23234674,27388647,38426169,34550382,34587573,45767484,36536330,31589064,34864292,39229160,49405168,66165133,80705294,58155501,53603659,64095465,69660005,54131880,51113835,56950850,67048943,67643982,401640335,
Colombia,COL,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,13000000,13038740,15199940,14305560,14431680,16998100,19626841,21015360,16000000,20000000,39045898,53062199,35328320,48000000,72000000,98000000,31000000,32000000,14000000,17000000,44000000,105000000,79200000,84900000,145656798,149887651,140224314,112029279,151320538,246709450,219135625,204463329,157548259,64952909,50532704,56161404,65526906,95056913,88291703,124475461,151325692,222951900,246242647,277970422,399081656,333683053,258624567,291709692
Comoros,COM,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,1519327,743387,4771708,3994092,5119544,4908080,6785965,5922791,4263953,5231883,4433222,6366435,11035569,5360923,6047087,3504675,,,,,,,,211057,315486,399392,407989,455139,664395,591914,785845,894159,826446,,,,,
Cabo Verde,CPV,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,1080543,1430881,2284386,1798326,1830324,3049644,4717898,3668563,2745973,5165684,3480263,5237470,412552,473037,479394,282770,1521439,7190099,11977563,5170967,5718482,6022911,10007580,11724051,7962676,8626301,9824627,9847114,11394439,14207581,26123965,33359247
Costa Rica,CRI,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,500000,600000,600000,700000,700000,800000,800000,,,,,,,7100000,35500000,46020000,67180000,92950000,122453549,142395232,140491791,147801111,192016734,191548234,209029050,246343429,271414281,268618172,238598200,259382912,290543358,346035433,402604637,419222829,407784045,416129213,442216616
Caribbean small states,CSS,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,550000,354453,416389,816651,438334,12148510,75546684,90225003,104158333,98008334,130816667,140026667,149508333,159013890,179867595,170297544,146685187,147931482,137920282,129237910,93659259,98302324,85873667,93717243,106196083,129886984,168517593,175337037,204225926,232011384,280083877,313592418,428928856,521575642,610251162,595454231,584027392,653684825,596839359,500125918,571637185,866282369,976605636,893715710,989489809,1116666823,1249437933,1179100704
Cuba,CUB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132882682,135195531,117022346,121039106,130206704,127391061,141776536
Cayman Islands,CYM,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,4141335,3430350,4551386,7053303,9063828,7355894,7783151,6645896,5608564,6203552,6947888,7275046,10929458,9704323,12006639,18302064,23801654,24527288,33726744,47522196,53612260,50593763,52141109,52491239,48199808,79289845,107041595,183919804,213442843,240674536,239527689,304737446,817355528,694269818,952199818,894886535,760034172,741786220,833150704,677449037,732144707,757795235
Czech Republic,CZE,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249998,55021464,100448819,302117152,340025608,738860367,633766010,602866678,711113468,892550709,1099906218,799488100,1340706460,1677693601,2295809310,2586100789,2044602212,1496982253,1522137850,1334625944,1079198620,1523333419,1376392339,1658604748,2059972706
Germany,DEU,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,2237634277,2722813721,3690343262,4016875000,4095520996,4173704102,4255071289,5183325684,5725612305,5818916016,4791845703,4480540527,4289452148,4038365234,3598019287,4636389160,5534590820,5871227051,5482565430,6542014537,6600992158,8222439487,8176367234,8870751241,10891204295,10518755115,9473507979,9108082671,10088645451,8663452861,9183056512,10115069295,11556294680,12598611317,12707902800,12697369924,14084230454,15231564514,15322978953,14682909208,16116359753,15587632314,19978671692,20077994826,18033313160,20289740178,22090770773
Djibouti,DJI,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365742,1356058,1496728,1761187,1778068,1688039,4839045,4670242,4670242,4726510,4698376,5120385,5789974,11619336,12857231,12407088,12688427,13729398,12097682,18455998,19271888
Dominica,DMA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,4370370,1962963,1814815,2100000,162963,200000,122222,18519,444444,151852,62963,122222,7407,7407,11111,6667,6233,6296,6630,7144,7430,7896,8056,8085,8016,8039,1616552,1701589,24823246,24812588,21161684,19954455
Denmark,DNK,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160463689,159680759,199781244,209079804,289415405,369750992,346425670,693794224,661957529,744817220,860117578,1029285318,1226177451,1511602741,1775307875,3053890215,4024581053,3390969584,2833342704,3148221908,2979397707,3058995226,3171598140,2781262009,2914430190,3077934516
Dominican Republic,DOM,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200000,7400000,7000000,8900000,7600000,18500000,17800000,19300000,21700000,22500000,22900000,23900000,24700000,26600000,28200000,34500000,26900000,534000000,565500000,565200000,531100000,574800000,585000000,617100000,635000000
Algeria,DZA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,83920975,112963013,130798111,164692703,149682266,126301346,156824249,141269714,130872345,101439362,82272423,53256538,38377834,31481969,22032304,,,,,,,,,,,,,,27000000,35000000,48863733,26782545,45702406,27971376,30901605,44242619,38715810,295922112,72128991,76633496,69057116
East Asia & Pacific (excluding high income),EAP,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,42016,48828,214454,4712151,18192758,43411784,53271236,73234312,93737645,108253595,119863166,155028169,134708193,137879685,150898416,165307991,279558156,376555695,410172261,477723658,305774798,292340365,347110344,321567398,1687146878,1803119715,2396307691,3304387053,1230355307,1494433367,1717304296,5218650840,5299276849,8281581172,9231412142,9805663473,11152762806,12356293012,15394911369,10152653217,11175127446,12362079095,13701723342,16609885722,33844974251,34264340910,30224747318
Early-demographic dividend,EAR,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,334599899,587537659,646651662,935189091,1240011441,1692151619,2221502659,3947908025,5882335518,6874192771,7932838863,9615141354,10233290909,10324812543,9522172384,9084898335,8629239227,9028645958,10738640144,12888552507,15650237363,17713065048,18009671066,20093869457,22543267028,21306587966,20886296733,20709188761,20901906432,20191567257,23112950209,23320871848,23825204069,23075347537,23484074704,25134913483,28408932475,31061514394,40481605863,44856725807,49417618663,51643658924,55730959980,66103079836,65674154808,68596677666,68032313166,67979929779
East Asia & Pacific,EAS,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,66080009,84004091,175469925,271475074,327298767,340161996,351610347,492962863,613105635,711673497,840537885,950532382,1011748823,989538796,989252030,616597085,665429634,896060621,1307378525,2139769215,2454583258,3724628413,3798717569,3791817907,4040195592,6493892578,8957229536,9691410095,9261394406,8136981930,8778045435,9777806333,15468711329,15774754008,19165166253,20244099865,24326924365,27881863261,30337179780,31919306148,30015381907,33891512184,35134839117,35082823409,40065596139,55354854570,59262443877,57906204172
Europe & Central Asia (excluding high income),ECA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5154000,256926000,508657000,666711000,739459000,628585677,457450854,582640472,1446853049,2064499358,3313609330,6323598259,10067028500,16824573520,26204667636,36457108951,26966133059,27943229750,33693946797,41020457779,48043995600,43797166019,28113502429,23257989167,28159036680
Europe & Central Asia,ECS,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,336637240,2662875263,3288680659,4495286789,4992641178,8249324673,8484638767,10338855133,13103263152,14975340412,16565484044,14921258969,14622817717,13934491189,13026125275,13221756887,17305176023,23005218262,25556162057,25960519296,30915321192,30976366133,34811957950,33718831429,33004308185,40603681807,39622451587,36588041593,37857920758,44057925696,41847240209,45531357265,48592619166,59849133566,74100677323,82776001971,97109220857,124717728103,162045702973,145219724334,142664951816,161889166752,164343779146,180390881840,180164648363,154924243024,154670814865,168936928621
Ecuador,ECU,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,23600000,24799999,11500000,43400002,66900002,66199997,125000000,86000000,122000000,114000000,167000000,147000000,188000000,175000000,2000000,3000000,3000000,3010000,5000000,4000000,9000000,4400000,5010000,5000000,6000000,6932673,7281253,6504694,6500000,54020037,62455627,83155618,65597444,95347866,135971152,148375074,154049109,167268211,195915064,291533662,302374308,371469505
"Egypt, Arab Rep.",EGY,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33181820,26500000,33000000,233000000,140000000,255000000,223000000,142000000,344200000,108000000,38800000,32000000,34700000,14400000,79100000,12800000,57200000,135000000,179600000,241300000,254800000,304800000,292900000,292700000,354900000,351400000,622700000,352200000,270800000
